Name,Type,Rating,Rank,Description,Tags,NTags
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,"TV
(12 eps)","3.905 out of 5 from 8,394 votes","Rank #1,474","The fleeting and sad story about little girls known as fairy weapons and an associate hero that survived. This is a world after it was attacked by unidentified monsters known as beasts and many of the species in the world, including humans, had been destroyed. The species that had managed to survived left the ground and were living on a floating island called Regal Ele. Willem Kumesh, wakes up above the clouds 500 years later and couldn’t protect the ones who he wanted to protect. Actually, he was living in despair because he was the only survivor. He then ends up meeting a group of girls while starting an unexpected weapon management job.","{'Military', 'Romance', 'Slice of Life', 'Drama', 'Post-apocalyptic', 'Magic', 'Island', 'Based on a Light Novel', 'Fantasy', 'Mystery'}",
Genshin Impact: Sumeru PV,"Web
(1 ep x 1 min)",3.905 out of 5 from 78 votes,"Rank #1,470",No synopsis yet - check back soon!,"{'Commercials', 'Based on a Video Game', 'Fantasy', 'Chinese Animation', 'Promotional'}",
Wu Geng Ji,"Web
(30 eps x 16 min)",3.905 out of 5 from 261 votes,"Rank #1,473","The Great Shang dynasty has been in power for many years, but the Gods have found fault with the new emperor. Instead of submitting to their will at the expense of his people, the emperor resolves to throw off the Gods' yoke and free humanity. However, this means not only will he face the Gods, but also a rival, the young Zhou—who submits to the Gods' will for nothing but his own purposes! The fate of the dynasty, nay, the fate of all humanity will be determined by this great battle between the forces of Heaven and Earth!","{'Ancient China', 'Based on a Manga', 'Action', 'Superpowers', 'CG Animation', 'Fantasy', 'Chinese Animation'}",
Gankutsuou: The Count of Monte Cristo,"TV
(24 eps)","3.904 out of 5 from 6,875 votes","Rank #1,479","Albert de Morcerf had it all: wealth, loving parents, great friends. The only thing lacking in his life was excitement... until that fateful day on Luna. After a chance encounter with bandits and a daring rescue, Albert invites his newfound friend and savior, the Count of Monte Cristo, to his home in Paris. Little does he know what fate has in store for him and his loved ones. Just who is the mysterious Count, and what does he want? As tragedy touches the lives of those around him, can Albert’s only recourse be to wait and hope?","{'Abstract', 'Drama', 'Europe', 'Thriller', 'France', 'Nobility', 'Based on a Novel', 'Mystery', 'Sci Fi'}",
Anhe Zhuan,"Web
(12 eps x 20 min)",3.904 out of 5 from 20 votes,"Rank #1,476",No synopsis yet - check back soon!,"{'Chinese Animation', 'CG Animation', 'Action', 'Based on a Web Novel'}",
Barefoot Gen,"Movie
(1 ep x 83 min)","3.904 out of 5 from 1,764 votes","Rank #1,480","The year is 1945, and the Japanese war effort is grinding to a halt. In Hiroshima, the Nakaoka family is working hard to survive in the midst of poverty and persecution. With his father constantly working, six year old Gen has been left in charge of his family, yet stays relentlessly optimistic in the face of hardship. Then, on August 6th, the atomic bomb Little Boy detonated in the center of town, and the people's lives were changed forever. As Gen struggles to cope with the horrific event, his youthful innocence and refusal to give up brings a renewed sense of hope to those around him...","{'Child Protagonists', 'Drama', 'Lifestyle Change', 'Melancholy', 'Based on a Manga', 'War', 'World War 2', 'Death of a Loved One', 'Historical', 'Poverty', 'Shounen'}",{'Explicit Violence'}
One Piece Movie 4: Dead End Adventure,"Movie
(1 ep x 95 min)","3.904 out of 5 from 7,365 votes","Rank #1,477","Luffy’s crew is in dire straights: they are in the Grand Line, running out of money fast! In their search for a quick fix, they find out about a Pirates race. Should they survive the treachery of the other pirates and the Grand Line itself, they can net over 3 million belli, making the venture profitable indeed. Of course, they immediately sign up, knowing that if they win their problems will be solved – but the opposition is no joke. Devil Fruit users, merman, huge giants and bounty hunters all stand in the path to their success!","{'Ocean', 'Based on a Manga', 'Action', 'Superpowers', 'Shounen', 'Adventure', 'Pirates', 'Racing'}",{'Violence'}
Maria Watches Over Us Season 4,"TV
(13 eps)","3.904 out of 5 from 1,205 votes","Rank #1,478","Lillian Girls’ Academy is about to have its school festival, and members of the student council are preparing for the event. As per tradition the yamayurikai are putting on a play with the help of the nearby Hanadera boys’ school, and this year Yumi and her brother Yuki are playing the lead roles. While it is hoped that all will go without a hitch, problems arise when Kanako’s hatred of men leads her to become unhappy with her participation, and Touko quits the drama club following a disagreement with a senpai. With Yumi attempting to resolve her juniors’ situations, she finds she has no time to plan for the anniversary of becoming Sachiko’s petite soeur; though all she can think about is her impending need to find a soeur of her own once the festival ends. Once Yoshino decides to hold an audition to find her younger sister, will Yumi be able to use this situation to finally decide upon a petite soeur of her own?","{'Drama', 'GL', 'School Life', 'LGBT Themes', 'Shoujo-ai', 'Based on a Light Novel', 'Catholic School'}",
Saiyuki Reload: Burial,"OVA
(3 eps)",3.903 out of 5 from 838 votes,"Rank #1,484","Before Sanzo, Goku, Gojyo and Hakkai formed their party and began their Journey to the West, their lives were completely different. Following the death of his master, Sanzo left his temple in order to retrieve the Seiten Sutra, and after wandering alone for four years, he arrives at the Palace of the Setting Sun; he is plagued by nightmares and unwilling in his role as Genjo Sanzo. Then, upon hearing a voice calling out to him, Sanzo climbs Mt. Gogyou and happens upon Son Goku, a monster cast out from the heavens and imprisoned for five hundred years, who then proceeds to follow him around. Meanwhile, some time after Hakkai received his judgement at the Palace of the Setting Sun, he and Gojyo are living together; but when an old friend of Gojyo's turns up on their doorstep, it seems their hopes of a quiet life are not meant to be.","{'Comedy', 'Journey to the West', 'Based on a Manga', 'Action', 'Josei', 'Adventure', 'Fantasy'}",
FLCL,"OVA
(6 eps x 25 min)","3.902 out of 5 from 34,917 votes","Rank #1,487","Naota Nanbada is a boring young boy who leads a boring life in a boring town. His older brother has left for America, and the closest he comes to any excitement is when his deadbeat dad has too much sake. But things change one day when a bizarre girl zooms up to him on a scooter and smacks him in the face with her guitar. What's more, once Naoto returns home he discovers that this strange woman has arrived ahead of him and moved in! Not only does she constantly engage in perverted activities with Naota's father and flirt with the young man himself, but she also claims to be an alien who is searching for the ‘Pirate King.' Now, Naota must learn to live with this new intruder, deal with an odd government agent who sports exceptionally large eyebrows and the mysterious Medical Mechanica, and come to terms with the fact that there are a variety of robots and weapons emerging out of his head - amongst other things. Perhaps boring wasn't so bad after all...","{'Comedy', 'Romance', 'Robots', 'Original Work', 'Action', 'Non-Human Protagonists', 'Coming of Age', 'Slapstick', 'Sci Fi'}",
Genshin Impact: Lantern Rite PV - Dream Upon a Lantern,"Web
(1 ep x 2 min)",3.902 out of 5 from 101 votes,"Rank #1,486","A sea of lanterns illuminates the sky, bringing together countless dreams in this moment. May this dream last forever, that we may meet again once more.","{'Commercials', 'Based on a Video Game', 'Slice of Life', 'No Dialogue', 'Fantasy', 'Chinese Animation', 'Promotional'}",
School Rumble,"TV
(26 eps)","3.902 out of 5 from 17,870 votes","Rank #1,488","Tenma Tsukamoto is young, bright, and smitten with the school hottie Oji Karasuma. She's desperate for his attention, which is unfortunate considering he barely gives her the time of day! Throw Kenji Harima, the school delinquent with a crush on Tenma into the mix and you've got one twisted love triangle of unrequited proportions! Can love find the trio happiness before their attention-grabbing stunts end up hurting more than their egos?","{'Delinquents', 'Comedy', 'Romance', 'Episodic', 'School Life', 'Based on a Manga', 'Romantic Comedy', 'Gag', 'Love Triangle', 'Shounen', 'Unrequited Love'}",
Naruto Shippuden Movie 5: Blood Prison,"Movie
(1 ep x 103 min)","3.902 out of 5 from 11,571 votes","Rank #1,490","After being falsely accused of attempting to kill the Raikage, Naruto is sent to Blood Prison - an island penitentiary surrounded by deadly whirlpools. Designed for convicted shinobi, the facility is governed by the merciless warden Mui, whose iron rule has left the prisoners with no hope for escape. Binding the chakra of all inmates with the ""Heavenly Prison"" jutsu, he prevents them from using any ninja techniques. Naruto, rendered powerless, must now team up with fellow inmate Ryuuzetsu to unravel the truth behind the crime and try to prove his innocence. Will the young ninja and his ally be able to escape and free the prison from its dark history, or will they succumb to the despair of lifetime imprisonment?","{'Ninja', 'Based on a Manga', 'Action', 'Island', 'Shounen', 'Prison'}",
Digimon Adventure Tri. Movie 2: Determination,"Movie
(1 ep x 82 min)","3.902 out of 5 from 2,282 votes","Rank #1,491","In the wake of the events of Digimon Adventure tri: Reunion, the DigiDestined inaugurate their newest members, Meiko Mochizuki and Meicoomon, with a trip to a nearby hot spring. Meanwhile, Joe is becoming more distant, struggling to balance his duty as a DigiDestined and the competitive world of academics. As the damage caused by Alphamon is slowly repaired, another infected Digimon, Ogremon, suddenly appears, and although they only have good intentions, the decisions the DigiDestined make now will have unforeseen consequences…","{'Action', 'Monsters', 'Sci Fi', 'Drama'}",
Hidamari Sketch x 365,"TV
(13 eps)","3.902 out of 5 from 1,468 votes","Rank #1,489","It is still Yuno's first year at Yamabuki High school, and for the girls of the Hidamari apartment complex, life continues as normal. Whether it is visiting a shrine to do some sketching on their day off, or sitting under a kotatsu enjoying nabe on a cold winter's day, Yuno, Miyuko, Sae and Hiro make the most of each other’s company and cherish the time they have together. From the entrance exams and meeting each other, through the seasons, follow the day-to-day lives of these girls as they make each moment count and bring their own brand of fun to the most everyday activities.","{'Art', 'Comedy', 'Slice of Life', 'Iyashikei', 'Neighbors', 'School Life', 'Based on a Manga', 'Based on a 4-Koma Manga', 'Art School', 'Seinen', 'Boarding House'}",
InuYasha The Movie 3: Swords of an Honorable Ruler,"Movie
(1 ep x 99 min)","3.902 out of 5 from 10,742 votes","Rank #1,492","Inuyasha and Sesshoumaru’s father was a powerful demon who used three swords of great power. While Inuyasha swings the Tetsusaiga to protect his friends, Sesshoumaru carries the Tensaiga and has the ability to save souls, leaving the inheritance of the powerful possessed sword Sou’unga undecided. After laying dormant for 700 years, the seal has broken and it has found its way into Inuyasha’s hands. Determined to claim the sword, Sesshoumaru sets out to find it. Can Inuyasha master Sou’unga and hold back Sesshoumaru, or will the evil spirit of the blade be his master?","{'Swordplay', 'Person in a Strange World', 'Based on a Manga', 'Action', 'Non-Human Protagonists', 'Feudal Japan', 'Shounen', 'Fantasy', 'Animal Characteristics'}",
Beyond the Boundary: Shinonome,"DVD Special
(1 ep x 24 min)","3.902 out of 5 from 3,877 votes","Rank #1,495","Two years ago, the Nase siblings met Akihito for the first time when Hiroomi and Mitsuki are sent to subjugate the half-yomu.","{'Urban Fantasy', 'Magic', 'Action', 'Contemporary Fantasy', 'Based on a Light Novel', 'Fantasy'}",{'Violence'}
Space Battleship Yamato 2199: Odyssey of the Celestial Ark,"Movie
(1 ep x 111 min)",3.902 out of 5 from 425 votes,"Rank #1,494","A new super weapon has emerged and Gamilas ships vanish from the seas. In the meantime, the Yamato has left the Large Magellanic Cloud and is on its way back to the Milky Way Galaxy. During the voyage, the crew is hit by a gatlantean warrior fleet under command of Goran Dagam, who claims the ""Yamatee"" as his prey. After Susumu Kodai in command refuses to give up the ship, the Yamato makes a run and accidentally ends up inside a strange world that defies logic and the law of physics. An expedition team is sent to the surface and makes a truly mind-boggling experience that they cannot escape. Next to that the team doesn't seem to be alone after they encounter their old foes. Time runs out and the Gamilas and Terrons walk a thin line in a world that's not their own, having the Gatlanteans sitting in their necks.","{'Military', 'Outer Space', 'Space Opera', 'Action', 'Adventure', 'Aliens', 'Leijiverse', 'Sci Fi'}",
Re:ZERO: Starting Life in Another World - The Frozen Bond,"Movie
(1 ep x 76 min)","3.901 out of 5 from 4,294 votes","Rank #1,499","Emilia lives in a secluded forest covered in snow with the spirit Puck. The forest holds a secret: the elves who once lived there have been frozen into ice. Emilia is feared by the people living on the outskirts of the forest, but makes a humble living selling magic stones and warding off Magic Beasts. One day, however, her peaceful life is disrupted when the Great Spirit of Fire Melakuera decides to lay his judgment upon her.","{'Magic', 'Loneliness', 'Melancholy', 'Non-Human Protagonists', 'Based on a Light Novel', 'Monsters', 'Forest', 'Fantasy', 'Seinen'}",{'Violence'}
Beyond the Boundary Movie: I'll Be Here - Past,"Movie
(1 ep x 85 min)","3.901 out of 5 from 3,397 votes","Rank #1,500","A re-telling of the original 2013 anime series, recounting the events surrounding bespectacled beauty Mirai Kuriyama and an immortal, half-human boy named Akihito Kanbara. As a Spirit World warrior, Mirai uses the rare gift (and curse) that is using her blood as a weapon to slay supernatural monsters known as youmu.","{'Drama', 'Urban Fantasy', 'Magic', 'Action', 'Contemporary Fantasy', 'Recap', 'Based on a Light Novel', 'Fantasy'}",
Heaven's Lost Property Movie 1: The Angeloid of Clockwork,"Movie
(1 ep x 95 min)","3.901 out of 5 from 5,379 votes","Rank #1,501","Hiyori joins the New World Discovery Club to get closer to her crush, Tomoki. She finds herself bonding with Ikaros and the gang - until a tragic accident reveals a surprising, dangerous connection to the Angeloids!","{'Ecchi', 'Comedy', 'Angels', 'Based on a Manga', 'Shounen', 'Fantasy'}",
School-Live!,"TV
(12 eps)","3.901 out of 5 from 9,689 votes","Rank #1,505","Yuki Takeya loves her school. She loves it so much, in fact, that she actually lives there! She's part of the ""School-Life Club"", a group of four girls and their dog who camp out in the club room at night and grow their own food on the school roof. But why is Yuki the only one who still attends classes? And why doesn't anyone ever have the urge to go home?","{'Psychological', 'Horror', 'Survival', 'Melancholy', 'Orphans', 'School Club', 'School Life', 'Seinen', 'Zombies', 'Based on a Manga', 'Apocalypse', 'Pandemic', 'Mental Illness'}",
Hakuouki: Demon of the Fleeting Blossom OVA,"OVA
(2 eps x 8 min)",3.901 out of 5 from 622 votes,"Rank #1,502",No synopsis yet - check back soon!,"{'Based on an Otome Game', 'School Life', 'Short Episodes', 'Reverse Harem', 'Parody', 'Based on a Visual Novel'}",
Detective Conan: Black History 2,"TV Special
(1 ep x 50 min)",3.901 out of 5 from 144 votes,"Rank #1,503",No synopsis yet - check back soon!,"{'Detectives', 'Recap', 'Mystery', 'Shounen'}",
Cells at Work!!,"TV
(8 eps)","3.901 out of 5 from 4,107 votes","Rank #1,496","The average human body contains about 60 trillion cells, and each of them has work to do! But when you get injured, viruses or bacteria invade, or when an allergic reaction flares up, everyone from the silent but deadly white blood cells to the brainy neurons has to work together to get through the crisis!","{'Comedy', 'Episodic', 'Medical', 'Educational', 'Based on a Manga', 'Action', 'Non-Human Protagonists', 'Shounen', 'Anthropomorphic'}",{'Violence'}
Qian Wu Gu Ren,"Web
(26 eps x 7 min)",3.904 out of 5 from 20 votes,"Rank #1,475","The smartest man, Luo Xiao, and the affluent prince, Yan An Cheng, wander from place to place to find clues about the legendary “Heavenly Stairway”. They encounter many bizarre cases along the way, and gradually, they uncover a hidden conspiracy...","{'Shounen-ai', 'Short Episodes', 'Adventure', 'BL', 'Royalty', 'Fantasy', 'Chinese Animation'}",
High School DxD Hero,"TV
(12 eps)","3.899 out of 5 from 9,808 votes","Rank #1,516","Bounce into the latest adventure with Issei and his band of beauties! Issei is suddenly attacked in Kyoto by a mysterious fox yokai-whose mother is missing. When it looks like the Chaos Brigade might be the ones behind the missing yokai, it's up to the Grabbing Dragon and his voluptuous vixens to face them. Plenty of trouble awaits Issei as he takes on new foes and looks to get his rise-as a hero!","{'Ecchi', 'Norse Mythology', 'Demons', 'Angels', 'Japanese Mythology', 'School Life', 'Action', 'Contemporary Fantasy', 'Harem', 'Non-Human Protagonists', 'Newly Co-ed School', 'Based on a Light Novel', 'Shounen', 'Fantasy'}","{'Sexual Content', 'Nudity,'}"
Eve: Living idly and dying as if dreaming,"Music Video
(1 ep x 4 min)",3.908 out of 5 from 120 votes,"Rank #1,453","The official music video for Living idly and dying as if dreaming from the album Kaizin, by Eve.",{'Dystopia'},
Legend of Xianwu 2nd Season,"Web
(17+ eps x 18 min)",3.878 out of 5 from 14 votes,"Rank #1,638",The second season of Legend of Xianwu.,"{'Cultivation', 'Xianxia', 'Action', 'Harem', 'Martial Arts', 'Based on a Web Novel', 'Adventure', 'Revenge', 'CG Animation', 'Fantasy', 'Chinese Animation'}",
Tokyo Ghoul √A,"TV
(12 eps)","3.9 out of 5 from 44,912 votes","Rank #1,511","In modern day Tokyo, society lives in fear of Ghouls: mysterious creatures who look exactly like humans -- yet hunger insatiably for their flesh. None of this matters to Ken Kaneki, a bookish and ordinary young man, until a dark and violent encounter turns him into the first ever Ghoul-human half breed. Trapped between two worlds, Ken must survive the violent conflicts of warring Ghoul factions, while attempting to learn more about Ghoul society, his newfound powers, and the fine line between man and monster.","{'Psychological', 'Horror', 'Based on a Manga', 'Action', 'Supernatural', 'Thriller', 'Seinen'}","{'Violence', 'Cannibalism,'}"
By the Grace of the Gods,"TV
(12 eps)","3.901 out of 5 from 10,388 votes","Rank #1,504","Only 39 years into a life full of bad luck, Ryoma Takebayashi passes away in his sleep! Taking pity on him, three divine beings show compassion by reincarnating him as a young boy to a magical, new world. Now he spends his time researching and caring for slimes. But after healing an injured traveler, Ryoma decides to set out with his new friends on a journey to use his power to help others.","{'Iyashikei', 'Person in a Strange World', 'Slice of Life', 'Magic', 'Slimes', 'Monsters', 'Slow Life', 'Based on a Light Novel', 'Adventure', 'Fantasy', 'Reincarnation', 'Isekai'}",{'Explicit Violence'}
Shiki,"TV
(22 eps)","3.9 out of 5 from 20,715 votes","Rank #1,512","Encased by trees that are used to make grave markers, Sotoba is a village thought to be surrounded by death - a fact that soon literally becomes the case. One summer, a series of mysterious and untimely fatalities begins to plague the small rural town. With a higher than normal mortality rate for the time of year and each cause of passing remaining unknown, Toshio, the local doctor, and Seishin the temple’s vice chief monk become suspicious and take it upon themselves to investigate. However, as the deaths begin to pile up, more people begin to wonder just what is behind this sudden epidemic; could it have anything to do with the bizarre Kirishiki family that recently moved to the village?","{'Psychological', 'Horror', 'Supernatural', 'Based on a Light Novel', 'noitaminA', 'Countryside', 'Vampires', 'Mystery'}","{'Mature Themes,', 'Explicit Violence,', 'Physical Abuse'}"
Inu-Oh,"Movie
(1 ep x 98 min)",3.901 out of 5 from 297 votes,"Rank #1,497","Inu-Oh was a real-life figure, a Sarugaku Noh performer and playwright who was extremely popular in the 14th century. However, he is all but unknown to people nowadays, because very few documents about his life have survived. Now, around 600 years later, this Inu-Oh project portrays the tales of brotherhood between the legendary Inu-Oh, who vanished from history, and a certain Biwa player, and is full of music and dance sequences.","{'Music', 'Based on a Novel', 'Feudal Japan', 'Historical', '14th Century', 'Fantasy'}",{'Explicit Violence'}
PSYCHO-PASS SS: Case. 2 - First Guardian,"Movie
(1 ep x 60 min)","3.898 out of 5 from 1,462 votes","Rank #1,521",No synopsis yet - check back soon!,"{'Military', 'Noir', 'Original Work', 'Cyberpunk', 'Police', 'Dystopia', 'Sci Fi'}",{'Explicit Violence'}
No. 6,"TV
(11 eps)","3.899 out of 5 from 17,770 votes","Rank #1,513","Sion is intelligent, highly educated and lives a privileged life within the walls of No. 6, one of six city-states that was built after the world was destroyed from war. But Sion's comfortable existence changes forever when he meets Nezumi, an escaped convict, on the eve of his twelfth birthday. Due to his assistance in keeping Nezumi safe, Sion loses his rights and is forced to live in the lower town, where he becomes a normal citizen. Four years later, Sion finds himself back in Nezumi's company and in the midst of a dangerous conspiracy that leaves a trail of bodies in its wake. What is really going on in No. 6?","{'Shounen-ai', 'Post-apocalyptic', 'noitaminA', 'Dystopia', 'BL', 'Based on a Novel', 'Isolated Society', 'Sci Fi'}",
Parallel World Pharmacy,"TV
(12 eps)","3.9 out of 5 from 5,743 votes","Rank #1,507","When pharmacologist Kanji Yakutani dies, he probably wasn’t thinking he’d be reincarnated as a boy apprentice in a medieval world. The distinguished medical researcher finds himself now surrounded by quack medicines swindling the common good. With his past experience and a new set of supernatural powers, he’ll go from cutting-edge medical technology to now reforming healthcare for all!","{'Person in a Strange World', 'Magic', 'Medical', 'Modern Knowledge', 'Overpowered Main Characters', 'Based on a Light Novel', 'Medieval', 'Fantasy', 'Isekai'}",
The Irregular at Magic High School: Visitor Arc,"TV
(13 eps)","3.899 out of 5 from 6,355 votes","Rank #1,514","Miyuki's classmate Shizuku Kitayama is on her way to study abroad. For magicians, this is normally impossible, since allowing the genes of someone who can use magic outside their home country's borders is tantamount to giving up national secrets. But it's allowed to happen in one case-exchange programs. And that's how Angelina has arrived in Japan from the USNA to study at First High. But it seems she's a part of something much bigger than a simple cultural exchange!","{'Siblings', 'Drama', 'Magic', 'School Life', 'Action', 'Based on a Light Novel', 'Brother Complex', 'Magic School', 'Sci Fi'}",
RADWIMPS: Sparkle,"Music Video
(1 ep x 3 min)",3.905 out of 5 from 193 votes,"Rank #1,472",No synopsis yet - check back soon!,"{'Romance', 'School Life', 'Drama', 'Supernatural'}",
Nisekoi,"TV
(20 eps)","3.899 out of 5 from 23,538 votes","Rank #1,517","Raku Ichijo is an average high school student. He also happens to be the sole heir to the head of a Yakuza Family called the Shuei-gumi. 10 years ago, Raku made a promise… a secret promise with a girl he met. They promised one another that they will “get married when they reunite.” Since then, Raku never let go of the pendant the girl gave him.","{'Fake Romance', 'Comedy', 'Slice of Life', 'Romance', 'Childhood Promise', 'Tsundere', 'School Life', 'Based on a Manga', 'Romantic Comedy', 'Harem', 'Yakuza', 'Shounen', 'Gangs'}",
Dance Dance Danseur,"TV
(11 eps)","3.9 out of 5 from 1,178 votes","Rank #1,506","Danseur noble--a ballet dancer qualified to dance the role of the prince. Second-year junior high school student Murao Junpei was fascinated by ballet as a boy, but gave up on dancing after his father's death, as he had to become a man. However, one day, a beautiful transfer student named Godai Miyako appears before him. Miyako takes notice in Junpei's love of ballet and invites him to dance with her. Along with Miyako's cousin Mori Ruou, he begins his career as a full-fledged ballet dancer, with the aim of becoming the world's best dancer--the Danseur noble! Only those who have sacrificed everything are permitted to stand in the beautiful and harsh world of classical ballet.","{'Drama', 'Based on a Manga', 'Dancing', 'Ballet Dancing', 'Seinen'}","{'Bullying,', 'Domestic Abuse', 'Mature Themes,'}"
Mitsudomoe Zouryouchuu!,"TV
(8 eps)","3.899 out of 5 from 2,747 votes","Rank #1,519","The lives of the Marui triplets remain as hectic as ever, both at school and at home. Mitsuba continues to battle with her weight, even using Futaba as a makeshift dieting machine, all while attempting to keep a hold of her reputation and status within the class. Meanwhile, Hitoha’s adoration for the Gachi Rangers remains as strong as ever, though she’s finding it increasingly difficult to escape occult freak Sakiko. Finally, amongst the rampaging antics of his students, Yabe struggles on with his own issues, particularly in his non-existent relationship with the clumsy school nurse, Kuriyama. With panties flying, Futaba’s breast fetish raging, and the triplet’s suspicious dad causing embarrassment to his daughters at every turn, there’s plenty left in store for the girls and their long-suffering teacher.","{'Comedy', 'Slice of Life', 'Child Protagonists', 'Siblings', 'School Life', 'Based on a Manga', 'Shounen'}",
Those Snow White Notes,"TV
(12 eps)","3.899 out of 5 from 2,369 votes","Rank #1,518","When Setsu’s grandfather died, so did Setsu’s “sound”—his unique creative spark. Grieving, he goes to Tokyo to find himself…but manages to become totally, literally lost on his first day. Only a chance meeting with Yuna—aka Yuka, the hostess—saves him from being robbed. At first glance their lives seem totally different, but they’re both striving for their dreams—hers, of being an actress, and his, of developing his talent with the shamisen—and it could just be that life in the raucous, unfeeling urban sprawl of Tokyo could just be what binds their fates together…","{'Drama', 'School Club', 'Music', 'School Life', 'Based on a Manga', 'Death of a Loved One', 'Coming of Age'}",
The Legend of Sky Lord,"Web
(199+ eps x 10 min)",3.898 out of 5 from 37 votes,"Rank #1,520","I came from the void. With my hands, I can make the heavens fall and the netherworld crumble. I am a demon, a god, a deity, a human. I am Xiao Chen, the lord of all things.","{'Action', 'Short Episodes', 'Based on a Webtoon', 'Fantasy', 'Chinese Animation'}",
Giovanni's Island,"Movie
(1 ep x 102 min)",3.898 out of 5 from 764 votes,"Rank #1,522","In the aftermath of the most devastating conflict mankind had ever experienced, the tiny island of Shikotan became part of the Sakhalin Oblast... and on this forgotten border in a remote corner of the world, friendship among children from two different countries timidly blossomed, striving to overcome language barriers and the waves of history. Based on true events.","{'Child Protagonists', 'Drama', 'War', 'World War 2', 'Island', 'Historical'}",
Lucky Star,"TV
(24 eps)","3.898 out of 5 from 27,307 votes","Rank #1,523","In present day Japan, the life of a school girl is never dull. The easily-bored Konata never finds time to study because of her otaku habits, which frustrates hard-working Kagami to no end. On the other hand, laid-back Tsukasa always manages to go with the flow, while Miyuki is concerned with keeping her status as resident know-it-all. Join these four girls as they muse and meander their way through everyday events such as eating chocolate cones, doing homework, gaming, and trips to the beach galore.","{'Comedy', 'Slice of Life', 'Episodic', 'School Life', 'Based on a Manga', 'Based on a 4-Koma Manga', 'Gag', 'Parody', 'Shounen', 'Otaku Culture'}",
Trinity Seven Movie 2: Heavens Library & Crimson Lord,"Movie
(1 ep x 60 min)","3.898 out of 5 from 2,219 votes","Rank #1,524","Heavens Library & Crimson Lord brings back Arata, Lilith and the rest of the Trinity Seven to face off against the greatest enemy in the history of the Trinity Seven; Lilith's own father, who is revealed to be the strongest Demon Lord who challenges Arata who is now a Demon Lord candidate.","{'Ecchi', 'Magic', 'Based on a Manga', 'Action', 'Harem', 'Magic School', 'Shounen', 'Fantasy'}",{'Sexual Content'}
The Seven Deadly Sins Movie: Prisoners of the Sky,"Movie
(1 ep x 99 min)","3.897 out of 5 from 9,793 votes","Rank #1,526","The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago.","{'Demons', 'Angels', 'Magic', 'Based on a Manga', 'Action', 'Overpowered Main Characters', 'Non-Human Protagonists', 'Island', 'Shounen', 'Adventure', 'Medieval', 'Fantasy'}",{'Violence'}
ORESUKI: Are you the only one who loves me? Ore-tachi no Game Set,"OVA
(1 ep x 71 min)","3.897 out of 5 from 1,855 votes","Rank #1,525","I'm in a challenge with the superman rom-com protagonist of the century, Hose, with Pansy on the line! The stage is the regional championship baseball tournament! Obviously, I'll fight Hose fair and square… as if! He's better than me in all respects, so of course I'm going to use dirty tricks!","{'Comedy', 'Romance', 'Romantic Comedy', 'Harem', 'Based on a Light Novel', 'Shounen'}",
Gabriel Dropout Specials,"DVD Special
(2 eps x 15 min)","3.897 out of 5 from 1,441 votes","Rank #1,527","In the episode's story, the four main characters go to the hot springs after Vignette wins a ticket in a shopping center lottery. Satania plans to use a ""certain item"" to take Gabriel down a peg while they are there. However, she first has to get Gabriel, who would prefer not to move, to go to the hot springs with her.","{'Comedy', 'Slice of Life', 'Drama', 'Angels', 'Demons', 'Based on a Manga', 'Supernatural', 'Non-Human Protagonists', 'Shounen'}",
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,"TV
(2+ eps)",4.047 out of 5 from 197 votes,Rank #809,"Adachi, a thirty-year-old virgin, discovers he has the magical power to read the minds of people he touches. Unfortunately, the ability just makes him miserable since he doesn't know how to use it well! And to make matters worse, when he accidentally reads the mind of his very competent, handsome colleague, Adachi discovers the guy has a raging crush on none other than Adachi himself!","{'Adult Couples', 'Comedy', 'Romance', 'Shounen-ai', 'Salaryman', 'Unrequited Love', 'Psychic Powers', 'Based on a Manga', 'Romantic Comedy', 'Work Life', 'Coworkers', 'BL', 'Fantasy', 'Mature Romance'}",
Rurouni Kenshin Movie,"Movie
(1 ep x 91 min)","3.897 out of 5 from 8,121 votes","Rank #1,528","During the Bakumatsu Period, death filled Japan as people fought for what was in their hearts. A young man took up the sword to fight for the Meiji government: he was known as Hitokiri Battousai. It is now the 12th year of the Meiji Period, and Hitokiri Battousai is now known as Himura Kenshin; he atones for his sins by carrying a reversed-blade sword that will never kill again. During a trip to Yokohama, Kenshin meets a samurai named Takimi Shigure who lost a close friend, Takatsuki Gentatsu, during the conflicts in the past. Takimi blames himself foolishly for his friend’s death, and vows to take revenge upon this corrupt Meiji government who wasted Gentatsu's sacrifice. As swords weave blood from their masters' enemies upon the bloody ground, one thing is certain: revenge will bring only suffering and regret is a miserable feeling.","{'Swordplay', 'Drama', 'Samurai', 'Based on a Manga', 'Feudal Japan', 'Historical', 'Shounen', '19th Century'}",
